Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
NM,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,2092434,178,4.1,0.98,8.07,0,264,2.2,0.55,4.28,0,268,2.7,0.94,5.16,0,265,0.8,0,2,1,372,2.2,0.5,4.15,0,604,2.8,1.39,4.47,0,976,2.5,1.47,3.79,0,52311,30759,79303,true,true
NV,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,2922849,244,9.7,5.94,13.45,0,245,7.8,4.68,11.11,0,244,8,4.71,11.44,0,239,5.4,2.8,8.7,0,420,8.9,5.93,12.39,0,552,7,4.83,9.36,0,972,7.9,6.13,9.83,0,230905,179171,287316,true,false
NY,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,19618453,270,25.2,19.71,30.91,0,283,22.2,17.52,27.19,0,292,16.8,12.74,21.44,0,277,14.6,10.95,18.43,0,449,20.6,16.69,24.78,0,673,20.5,17.21,24.14,0,1122,20.6,18.04,23.14,0,4041401,3539169,4539710,true,false
OH,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,11641879,103,2.5,0,6.35,1,287,2,0.43,4.09,0,306,2.6,0.89,4.67,0,289,1,0,2.58,1,403,1.7,0.37,3.5,0,582,2.4,1.04,4.22,0,985,2.1,1.06,3.29,0,244479,123404,383018,true,true
OK,"Aug 10 - Aug 18, 2020",2,Statewide,Statewide,3918137,245,6.9,3.69,10.78,0,245,3.4,1.34,6.08,0,245,1.7,0.29,3.73,1,244,3.8,1.23,6.57,0,382,3.5,1.5,5.76,0,597,4.6,2.85,6.79,0,979,4,2.72,5.51,0,156725,106573,215889,true,true
OR,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,4081943,100,2,0,5.11,1,373,2.9,1.35,4.99,0,357,1.7,0.4,3.31,0,256,2.1,0.42,4.4,0,459,1.5,0.42,2.85,0,627,3.2,1.53,5.18,0,1086,2.4,1.41,3.6,0,97967,57555,146950,true,true
PA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,12791181,13,777,,,,561,15.7,12.87,18.78,0,151,9.5,4.73,14.73,0,162,2.1,0,4.87,1,518,15.5,10.51,22.76,0,369,4.8,2.84,7.24,0,887,10.1,7.53,13.74,0,1291909,963176,1757508,true,true
PR,"Aug 10 - Aug 17, 2020",2,Statewide,Statewide,3386941,247,1,0,2.45,1,246,0.9,0,2.49,1,246,3.2,1.06,5.93,0,247,5,1.25,10.63,1,375,1.6,0.38,3.31,0,611,2.6,1.11,4.54,0,986,2.2,1.18,3.26,0,74513,39966,110414,true,true
RI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1056611,33,777,,,,207,1.7,0,3.72,0,189,3.3,0.78,6.51,0,141,2.5,0,5.72,1,270,3.5,0.82,6.73,0,300,3.8,0.84,7.53,0,570,3.6,1.69,5.89,0,38038,17857,62234,true,true
SC,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,4955925,173,5.3,2.13,8.95,0,305,7,4.01,10.42,0,310,6,3.21,9.42,0,275,4.6,1.93,8.1,0,446,7.3,4.49,10.3,0,617,4.8,3.03,7.01,0,1063,6,4.37,7.95,0,297356,216574,393996,true,false
SD,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,864289,1,777,,,,40,777,,,,22,777,,,,20,777,,,,70,777,,,,13,777,,,,83,0,0,4.35,2,0,0,37597,false,false
TN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6651089,278,6.8,3.77,10.13,0,252,9.1,5.76,13.41,0,250,5.1,2.39,8.67,0,249,2.1,0.45,4.29,1,456,7.3,4.64,10.26,0,573,6.1,3.79,8.67,0,1029,6.7,5.11,8.57,0,445623,339871,569998,true,true
TX,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,27885195,250,8.7,5.17,12.89,0,251,6.4,3.31,10.14,0,250,5.3,2.39,9.23,0,250,3.7,1.47,6.51,0,466,6.1,3.36,9.23,0,535,6.9,4.52,9.76,0,1001,6.5,4.69,8.47,0,1812538,1307816,2361876,true,false
UT,"Aug 15 - Aug 25, 2020",2,Statewide,Statewide,3045350,43,777,,,,333,6.2,3.37,9.22,0,249,3.3,1.07,5.51,0,246,1.4,0,3.12,0,370,7,2.57,12.61,0,501,3.9,2.06,6.09,0,871,5.5,2.94,8.71,0,167494,89533,265250,true,false
VA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8413774,30,777,,,,507,3.3,1.96,5.06,0,337,2.9,0.83,5.32,0,369,1.1,0.16,2.37,0,391,1.1,0.21,2.31,0,852,8.1,3.99,12.57,0,1243,4.7,2.51,7.22,0,395447,211186,607474,true,false
VT,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,624977,8,777,,,,163,0,0,2.24,2,79,0.8,0,3.03,1,132,0.5,0,1.79,1,145,0,0,2.51,2,237,0.5,0,1.6,1,382,0.3,0,0.81,1,1875,0,5062,false,true
WA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,7294336,121,4.7,1.06,9.44,0,473,3.4,1.67,5.79,0,358,1.6,0.22,3.58,1,286,1.2,0.13,2.77,1,514,3.7,1.55,6.46,0,724,2.4,1.06,3.95,0,1238,3,1.79,4.47,0,218830,130569,326057,true,true
WI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,5778394,103,1.4,0,3.84,1,274,4.3,1.92,7.18,0,287,3.8,1.5,6.22,0,168,2.2,0,5.29,1,379,2.1,0.74,3.74,0,459,4.5,2.26,6.81,0,838,3.3,2.03,4.72,0,190687,117301,272740,true,true
WV,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,1829054,30,777,,,,238,1.2,0.23,2.74,1,213,0.8,0,2.73,1,155,1.1,0,3.14,1,227,2.5,0.22,7.73,1,410,1.9,0.3,4.49,1,637,2.2,0.52,4.9,1,40239,9511,89624,true,true
WY,"Aug 13 - Aug 24, 2020",2,Statewide,Statewide,581836,4,777,,,,41,777,,,,23,777,,,,18,777,,,,51,777,,,,35,777,,,,86,0.8,0,3.11,1,4655,0,18095,false,true
AK,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,738516,23,777,,,,184,1.6,0,3.78,1,189,1.4,0,3.3,1,213,0.5,0,1.86,1,238,1,0,3.19,1,372,1.1,0.14,2.5,1,610,1,0.24,2.17,1,7385,1772,16026,false,true
AL,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4864680,66,777,,,,250,11.6,7.67,16.19,0,254,7,3.59,10.48,0,385,3.4,1.64,5.6,0,417,7.7,4.19,12.18,0,538,11.9,8.24,16.73,0,955,9.9,7.19,12.79,0,481603,349770,622193,true,false
AR,"Aug 24 -  Sep 8, 2020",3,Statewide,Statewide,2990671,165,7.8,3.61,11.73,0,334,3.6,1.69,5.91,0,247,4.3,1.72,7.34,0,237,5.1,2.23,8.24,0,392,4.3,2.36,6.62,0,600,5.6,3.54,7.74,0,992,4.9,3.5,6.41,0,146543,104673,191702,true,false
AZ,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6946685,29,777,,,,755,9.3,5.9,13.18,0,179,5.4,0.57,13.06,1,67,777,,,,83,3.9,0.7,8.35,0,947,5.8,4.39,7.56,0,1030,4.9,3.05,7.11,0,340388,211874,493909,false,true
CA,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,39148760,245,7.6,3.88,11.43,0,247,6.3,3.2,9.78,0,245,4.5,1.97,7.77,0,246,4,1.56,7.38,0,446,6,3.6,9.1,0,537,6,3.79,8.83,0,983,6,4.2,7.82,0,2348926,1644248,3061433,true,false
CO,"Aug 24 -  Sep 4, 2020",3,Statewide,Statewide,5531141,249,4,1.83,6.38,0,259,3.6,1.24,6.44,0,261,3.1,1.09,5.24,0,256,3.4,1.08,5.82,0,459,4.4,2.14,7.06,0,566,2.8,1.52,4.25,0,1025,3.6,2.31,5.09,0,199121,127769,281535,true,false
CT,"Aug 26 -  Sep 4, 2020",3,Statewide,Statewide,3581504,245,6.9,3.91,10.32,0,246,5.1,2.68,7.98,0,245,2.6,0.67,5.1,0,247,1.4,0,3.08,0,398,4.6,2.53,6.63,0,585,4.1,2.33,5.9,0,983,4.3,2.9,5.69,0,154005,103864,203788,true,false
DC,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,684498,25,777,,,,256,5.7,2.64,9.24,0,152,4.9,1.52,9.31,0,210,3.3,0.94,6.48,0,288,5.7,2.47,10.11,0,355,4.3,1.98,7.19,0,643,5,2.83,7.55,0,34225,19371,51680,true,false
DE,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,949495,45,777,,,,243,5.3,2.73,8.69,0,264,2.9,0.8,5.42,0,362,1.1,0.23,2.28,0,386,3.9,1.13,7.88,0,528,5,2.29,8.77,0,914,4.5,2.42,7.12,0,42727,22978,67604,true,false
FL,"Aug 27 -  Sep 9, 2020",3,Statewide,Statewide,20598139,245,3.8,1.11,6.51,0,246,9.3,5.38,13.53,0,245,5.1,2.22,8.97,0,245,0.7,0,1.87,1,377,6,3.12,9.09,0,604,5.3,3.37,7.7,0,981,5.7,3.93,7.49,0,1174094,809507,1542801,true,true
GA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,10297484,254,13.4,8.84,18.51,0,248,6.8,3.83,10.6,0,258,9.3,5.3,13.99,0,260,5.5,2.58,9.08,0,443,8.2,5.51,11.58,0,577,9.2,6.52,12.51,0,1020,8.7,6.69,11.14,0,895881,688902,1147140,true,false
HI,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,1422029,3,777,,,,4,777,,,,1,777,,,,4,777,,,,5,777,,,,7,777,,,,12,777,,,,,,,false,
IA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,3132499,52,777,,,,366,9.8,6.72,12.99,0,338,8.7,5.66,12.16,0,250,3.5,1.2,6.02,0,501,7.6,4.68,11,0,505,9.3,5.93,12.85,0,1006,8.4,6.15,10.74,0,263130,192649,336430,true,false
ID,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1687809,17,777,,,,198,7,3.23,12.14,0,242,4.4,1.56,8.13,0,333,3.4,0.88,6.9,0,306,8,2.67,15.94,0,484,3.4,1.86,5.61,0,790,5.7,2.9,9.7,0,96205,48946,163717,true,false
IL,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,12821497,245,9.6,5.89,13.41,0,244,3.1,1.28,5.33,0,244,6.7,1.86,14.3,0,246,4.9,2.3,7.94,0,410,5,3.04,7.34,0,569,6.1,3.5,9.83,0,979,5.6,3.9,7.67,0,718004,500038,983409,true,false
IN,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6637426,17,777,,,,542,3.8,1.81,5.97,0,220,3,0.63,6.29,0,205,1.7,0.16,3.93,1,233,2,0.36,4.09,0,751,2.8,1.47,4.46,0,984,2.4,1.36,3.52,0,159298,90269,233637,false,true
KS,"Aug 24 -  Sep 3, 2020",3,Statewide,Statewide,2908776,243,1.9,0.57,3.62,0,257,3.4,0.92,6.49,0,265,3.9,1.51,6.77,0,259,1.9,0.29,4.68,0,470,1.9,0.61,3.44,0,555,3.9,1.9,6.39,0,1025,2.9,1.57,4.31,0,84355,45668,125368,true,false
KY,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4440204,202,2.3,0.45,4.5,0,257,3.5,1.4,5.84,0,263,4,1.52,6.54,0,261,2,0.3,3.95,0,446,2.6,1.03,4.48,0,537,3.5,1.97,5.23,0,983,3.1,1.91,4.33,0,137646,84808,192261,true,false
LA,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4663616,208,8.3,4.25,14.5,0,266,9.9,6.04,14.73,0,265,7.9,4.55,12.36,0,262,6.5,3.35,11,0,404,6.3,3.49,9.56,0,597,10.8,7.4,15.35,0,1001,8.6,6.65,11.3,0,401071,310130,526989,true,false
MA,"Aug 27 -  Sep 5, 2020",3,Statewide,Statewide,6830193,244,5.3,2.09,8.98,0,248,2.1,0.39,4.58,0,245,7,3.46,10.67,0,244,1.3,0,3.19,1,420,4.5,2.28,6.98,0,561,2.8,1.39,4.66,0,981,3.6,2.36,5.08,0,245887,161193,346974,true,true
MD,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,6003435,76,15.6,7.84,24.49,0,304,6.2,3.54,9.16,0,317,7.7,4.7,11.14,0,283,1.4,0,3.31,1,394,9.9,6.23,14.31,0,586,6,3.52,9,0,980,7.9,5.72,10.35,0,474271,343396,621356,true,true
ME,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1332813,24,777,,,,293,0.3,0,1.19,1,213,3.2,1.05,6.49,0,229,0.3,0,1.36,1,304,1.5,0.43,2.78,0,455,1.6,0,4.96,1,759,1.5,0.44,3.22,0,19992,5864,42917,true,true
MI,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,9957488,243,5.2,2.25,8.28,0,244,3.3,1.09,6.51,0,244,2.9,1,5.36,0,245,1.9,0.34,3.81,0,408,3.6,1.57,5.86,0,568,3.2,1.74,4.89,0,976,3.4,2.16,4.95,0,338555,215082,492896,true,false
MN,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,5527358,174,4.7,0.51,11.63,1,272,11.8,7.88,17.03,0,264,10.6,5.42,17.43,0,262,7.4,3.71,12.79,0,430,6.9,4.05,10.79,0,544,11.5,7.97,15.79,0,974,9.2,6.71,11.95,0,508517,370886,660519,true,true
MO,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,6090062,248,5.8,3.02,8.96,0,256,2.7,0.85,5.12,0,264,2,0.33,3.86,0,252,0.6,0,1.7,1,466,2.3,0.79,3.95,0,558,3.5,1.88,5.22,0,1024,2.9,1.74,4.17,0,176612,105967,253956,true,true
MS,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,2988762,24,777,,,,320,9.9,5.73,14.11,0,320,4,1.7,7.26,0,323,6.4,2.79,11.09,0,383,4.8,2.17,8.23,0,604,11.8,5.49,20,0,987,8.4,4.89,12.73,0,251056,146150,380469,true,false
MT,"Aug 24 -  Sep 9, 2020",3,Statewide,Statewide,1041732,22,777,,,,182,1.2,0,2.93,1,146,0.4,0,1.42,1,168,2.2,0,5.1,0,192,1,0,2.33,1,326,0.9,0,1.97,0,518,0.9,0.23,1.82,0,9376,2396,18960,false,true
NC,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,10155624,242,6.5,3.2,9.94,0,240,2.9,0.96,5.52,0,250,3.1,0.98,5.53,0,250,3,0.91,5.74,0,403,2.8,1.31,4.65,0,579,4.7,2.57,7.26,0,982,3.8,2.33,5.26,0,385914,236626,534186,true,false
ND,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,752201,5,777,,,,43,777,,,,29,777,,,,28,777,,,,28,777,,,,81,0.5,0,2.04,1,109,0.2,0,0.99,1,1504,0,7447,false,true
NE,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,1904760,90,9.8,4.14,15.92,0,305,6.2,3.48,9.55,0,297,5.6,3.26,8.54,0,246,1.6,0.29,3.08,0,492,5.1,2.85,7.73,0,446,7.4,4.26,10.72,0,938,6.3,4.47,8.27,0,120000,85143,157524,true,false
NH,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,1343622,37,777,,,,387,1.8,0.59,3.33,0,463,1.2,0.38,2.27,0,260,1,0,2.22,1,500,1.6,0.19,3.9,1,647,1.7,0.76,2.86,0,1147,1.6,0.73,2.84,0,21498,9808,38159,true,true
NJ,"Aug 26 -  Sep 7, 2020",3,Statewide,Statewide,8881845,195,17.4,12.23,22.94,0,277,12.2,8.35,16.66,0,245,14.5,9.89,19.19,0,227,5.4,2.34,9.1,0,374,11.6,8.27,15.28,0,570,14,10.83,17.51,0,944,12.8,10.49,15.35,0,1136876,931706,1363363,true,false
NM,"Aug 25 -  Sep 8, 2020",3,Statewide,Statewide,2092434,153,2,0,4.97,1,276,5.8,3,9.35,0,277,2.5,0.88,4.59,0,279,2.3,0.5,5.09,1,406,3.2,1.11,6.06,0,579,4.1,2.27,6.36,0,985,3.7,2.28,5.55,0,77420,47707,116130,true,true
NV,"Aug 27 - Aug 29, 2020",3,Statewide,Statewide,2922849,226,5.4,2.55,8.62,0,253,7.1,4.02,10.4,0,250,6.7,3.59,10.15,0,251,6.5,2.42,12.23,0,413,6.5,3.71,9.79,0,567,6.6,4.38,8.8,0,980,6.5,4.63,8.58,0,189985,135328,250780,true,false
NY,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,19618453,246,18.2,14.05,23.29,0,261,23,17.51,29.15,0,259,20.2,15.04,25.2,0,277,10.8,7.22,14.96,0,483,18.7,14.92,22.86,0,560,20.3,16.36,24.53,0,1043,19.5,16.88,22.38,0,3825598,3311595,4390610,true,false
OH,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,11641879,75,10.2,3.42,17.85,0,294,4.2,1.93,7.02,0,305,4,1.55,7.12,0,309,1.1,0,2.78,1,419,5.5,2.59,8.84,0,564,4.6,2.03,7.39,0,983,5,3.17,7.14,0,582094,369048,831230,true,true
OK,"Aug 24 -  Sep 1, 2020",3,Statewide,Statewide,3918137,243,9.5,5.15,14.26,0,244,4.9,2.18,8.13,0,245,3.8,1.72,6.52,0,247,2.1,0,4.53,1,386,5.5,2.88,8.23,0,593,5.4,3.16,7.82,0,979,5.4,3.83,7.29,0,211579,150065,285632,true,true
OR,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,4081943,120,1.6,0,3.98,1,352,2.6,0.77,5.03,0,248,1.1,0,3.16,1,248,1.4,0.29,3.14,1,434,2.3,0.7,4.06,0,534,1.5,0.33,2.97,0,968,1.9,0.92,2.94,0,77557,37554,120009,true,true
PA,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,12791181,12,777,,,,498,15.2,12.09,18.46,0,151,7.5,3.26,12.56,0,184,1.8,0,4.68,1,517,14.5,9.3,22.42,0,328,4.7,2.58,7.65,0,845,9.5,6.58,13.56,0,1215162,841660,1734484,true,true
PR,"Aug 24 -  Sep 3, 2020",3,Statewide,Statewide,3386941,245,1.9,0.34,4.21,1,245,3.3,1.13,6.01,0,245,0.4,0,1.44,1,245,3.5,1.26,6.15,0,411,3.3,1.31,5.77,0,569,1.8,0.73,3.08,0,980,2.5,1.36,3.76,0,84674,46062,127349,true,true
RI,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,1056611,45,777,,,,278,3.5,1.39,5.84,0,226,3.9,1.44,6.85,0,237,1.8,0.35,4.1,0,331,3.5,1.34,6.23,0,455,2.6,1.07,4.33,0,786,3.1,1.73,4.64,0,32755,18279,49027,true,false
SC,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,4955925,96,6.7,2.02,12.97,0,262,10.1,5.97,14.42,0,308,4.8,2.25,7.9,0,261,3.3,1.1,6.13,0,422,6.5,3.53,9.76,0,505,7.8,5.25,11.28,0,927,7.2,5.12,9.57,0,356827,253743,474282,true,false
SD,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,864289,0,666,,,,45,777,,,,28,777,,,,24,777,,,,76,1.3,0,4.89,1,21,777,,,,97,0.7,0,2.47,1,6050,0,21348,false,true
TN,"Aug 25 -  Sep 8, 2020",3,Statewide,Statewide,6651089,190,5.3,2.05,9.01,0,260,7,3.81,11.03,0,251,3.5,1.11,6.07,0,249,4,1.59,6.91,0,423,5.6,3.18,8.52,0,527,5.2,2.96,7.74,0,950,5.4,3.62,7.31,0,359159,240769,486195,true,false
TX,"Aug 25 -  Sep 2, 2020",3,Statewide,Statewide,27885195,231,6.3,2.92,10.13,0,250,6.1,3,9.69,0,251,5.8,2.66,9.9,0,247,3.8,1.61,6.9,0,442,6.8,4.08,10.31,0,537,4.9,2.63,7.54,0,979,5.8,4.04,7.92,0,1617341,1126562,2208507,true,false
UT,"Aug 24 -  Sep 8, 2020",3,Statewide,Statewide,3045350,49,777,,,,430,4.3,2.25,6.76,0,318,6.5,3.68,10.08,0,307,2.3,0.58,4.2,0,483,6.1,2.77,10.49,0,621,3.8,1.77,6.77,0,1104,4.9,2.82,7.67,0,149222,85879,233578,true,false
VA,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,8413774,30,777,,,,325,4.9,2.28,7.84,0,323,3.2,1.04,5.62,0,329,1.8,0.31,3.59,0,362,3.2,1.09,5.79,0,645,3.8,1.57,6.63,0,1007,3.5,1.97,5.26,0,294482,165751,442565,true,false
VT,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,624977,12,777,,,,197,0,0,1.86,2,138,0.5,0,1.92,1,138,1.5,0,4.37,1,167,0.4,0,1.39,1,318,0.4,0,1.09,1,485,0.4,0,0.94,1,2500,0,5875,false,true
WA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,7294336,186,6,2.36,9.99,0,131,5.6,1.95,10.8,0,250,2.5,0.71,4.76,0,253,1.7,0.16,3.57,1,357,4.6,1.74,8.62,0,463,4.5,2.08,7.85,0,820,4.5,2.63,6.94,0,328245,191841,506227,true,true
WI,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,5778394,83,0.8,0,3.1,1,305,4.2,1.78,7.03,0,288,2.3,0.44,4.33,0,299,1.4,0.2,2.85,0,437,2.2,0.84,3.85,0,539,3,1.3,4.93,0,976,2.6,1.48,3.95,0,150238,85520,228247,true,true
WV,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1829054,37,777,,,,376,2.5,1,4.44,0,367,1.1,0,2.46,0,348,1.5,0.27,3.11,0,489,1.5,0.5,2.67,0,639,1.5,0.56,2.79,0,1128,1.5,0.78,2.38,0,27436,14267,43531,false,false
WY,"Aug 24 -  Sep 9, 2020",3,Statewide,Statewide,581836,3,777,,,,24,777,,,,24,777,,,,19,777,,,,29,777,,,,41,777,,,,70,777,,,,,,,false,
AK,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,738516,13,777,,,,186,0,0,1.96,2,251,2.1,0.56,4.25,0,231,0,0,1.58,2,273,0.2,0,0.95,1,408,0.6,0.12,1.23,1,681,0.4,0.11,0.82,0,2954,812,6056,false,true
AL,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,4864680,108,16.1,8.47,24.39,0,267,8.1,4.76,11.73,0,261,4.6,2.12,7.92,0,269,4.9,2.29,7.99,0,394,7.4,3.95,11.21,0,511,9.9,6.44,13.76,0,905,8.7,6.19,11.31,0,423227,301124,550195,true,false
AR,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,2990671,168,8.6,4.2,13.1,0,319,6.9,3.82,9.94,0,251,5.2,2.49,8.54,0,252,2.6,0.64,4.99,0,415,6.8,4.22,9.26,0,575,5.7,3.75,8.02,0,990,6.3,4.6,8.03,0,188412,137571,240151,true,false
AZ,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,6946685,38,777,,,,660,9.6,5.03,15.86,0,347,4.4,1.07,9.09,0,163,0.1,0,0.42,1,133,2.8,0,6.62,1,1075,8,4.34,12.86,0,1208,5.4,3.08,8.52,0,375121,213958,591858,true,true
CA,"Sep 10 - Sep 16, 2020",4,Statewide,Statewide,39148760,245,8.1,4.35,12.01,0,246,4.7,1.83,8.13,0,244,3.6,1.18,6.65,0,244,2.1,0.38,4.66,1,402,5.9,3.22,8.67,0,577,4,2.03,6.21,0,979,4.9,3.17,6.85,0,1918289,1241016,2681690,true,true
CO,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,5531141,251,4.5,1.3,9.81,0,259,3.6,1.33,6.34,0,260,1.9,0.51,3.45,0,262,2.3,0.65,4.23,0,458,2.7,0.91,5.05,0,574,3.9,1.76,6.53,0,1032,3.3,1.9,4.92,0,182528,105092,272132,true,false
CT,"Sep 9 - Sep 14, 2020",4,Statewide,Statewide,3581504,249,4.1,1.5,7.2,0,244,2,0.52,3.86,0,245,4.3,1.74,7.27,0,244,3.1,0.83,5.63,0,414,3.2,1.76,4.96,0,568,3,1.59,4.61,0,982,3.1,2.06,4.37,0,111027,73779,156512,true,false
DC,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,684498,116,7.5,2.7,12.52,0,329,6,3.31,9.02,0,203,8.7,4.43,12.74,0,328,4.1,1.82,6.63,0,447,7.1,4.36,9.97,0,529,5.9,3.49,8.57,0,976,6.5,4.47,8.29,0,44492,30597,56745,true,false
DE,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,949495,56,777,,,,283,8.6,4.62,12.73,0,271,2.9,0.93,5.2,0,370,3.2,1.38,5.6,0,410,7.6,3.93,11.89,0,570,7.4,4.09,11.24,0,980,7.5,4.89,10.5,0,71212,46430,99697,true,false
FL,"Sep 11 - Sep 11, 2020",4,Statewide,Statewide,20598139,245,13,8.08,18.74,0,245,10,6.19,13.81,0,245,6.5,3.37,10.6,0,244,3,1.04,5.76,0,433,9.3,6.12,12.83,0,546,7.8,5.27,10.68,0,979,8.5,6.55,10.68,0,1750842,1349178,2199881,true,false
GA,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,10297484,310,18.7,13.95,23.87,0,260,15.1,10.33,20.63,0,262,5.4,2.75,8.9,0,268,6.3,2.78,10.57,0,467,14,9.71,18,0,633,12.1,8.45,15.24,0,1100,13,10.51,15.79,0,1338673,1082266,1625973,true,false
HI,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,1422029,8,777,,,,166,1.9,0,5.1,1,158,0,0,2.31,2,184,0.3,0,1.77,1,196,1.4,0,3.97,1,320,0.3,0,1.22,1,516,0.8,0,2.18,1,11376,0,31000,false,true
IA,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,3132499,42,777,,,,322,11.3,7.24,15.02,0,326,9.9,6.85,13.12,0,287,3.3,1.32,5.78,0,509,5.9,3.27,9.28,0,468,9.2,6.43,12.32,0,977,7.6,5.56,10.02,0,238070,174167,313876,true,false
ID,"Sep 8 - Sep 18, 2020",4,Statewide,Statewide,1687809,23,777,,,,229,4.1,1.59,7.42,0,250,7.8,3.83,12.51,0,230,1.6,0,3.49,1,275,2.6,1.1,4.67,0,457,7.8,3.13,14.14,0,732,5.2,2.74,8.46,0,87766,46246,142789,true,true
IL,"Sep 8 - Sep 17, 2020",4,Statewide,Statewide,12821497,257,5.7,2.87,8.71,0,245,3.5,1.33,6.13,0,245,6.9,3.73,10.43,0,245,2.6,0.72,5.17,0,442,6.2,3.88,8.91,0,550,2.9,1.67,4.44,0,992,4.5,3.1,6.07,0,576967,397466,778265,true,false
